Numero NF;CNPJ;Inconsistência
267035;43035146000185;NF ou CNPJ não encontrados no acompanhamento.
267093;43035146000185;NF ou CNPJ não encontrados no acompanhamento.
11102476841;00043036514500;NF ou CNPJ não encontrados no acompanhamento.
111024766442;00043036514500;NF ou CNPJ não encontrados no acompanhamento.
11102476842;00043036514500;NF ou CNPJ não encontrados no acompanhamento.
111024766445;00043036514500;NF ou CNPJ não encontrados no acompanhamento.
211024766446;00043036514500;NF ou CNPJ não encontrados no acompanhamento.
21102024;00043036514500;NF ou CNPJ não encontrados no acompanhamento.
21102024;00043036514500;NF ou CNPJ não encontrados no acompanhamento.
21102024;00043036514500;NF ou CNPJ não encontrados no acompanhamento.
22102024;00043036514500;NF ou CNPJ não encontrados no acompanhamento.
22102024;00043036514500;NF ou CNPJ não encontrados no acompanhamento.
34283;43035146600161;NF ou CNPJ não encontrados no acompanhamento.
57201;43035146001742;NF ou CNPJ não encontrados no acompanhamento.
21356;43035148004172;NF ou CNPJ não encontrados no acompanhamento.
21357;43035148004172;NF ou CNPJ não encontrados no acompanhamento.
213958;43095148004172;NF ou CNPJ não encontrados no acompanhamento.
213959;43095148004172;NF ou CNPJ não encontrados no acompanhamento.
190;43085146001588;NF ou CNPJ não encontrados no acompanhamento.
8233221024104931660430351462024107394135;43035146001238;NF ou CNPJ não encontrados no acompanhamento.
8233221024104932570430351462024107394136;18328118026507;NF ou CNPJ não encontrados no acompanhamento.
30322024;43035146000169;NF ou CNPJ não encontrados no acompanhamento.
522022;18328118028976;NF ou CNPJ não encontrados no acompanhamento.
22024;18328118002200;NF ou CNPJ não encontrados no acompanhamento.
22024;18328180270927;NF ou CNPJ não encontrados no acompanhamento.
22024;18328118028976;NF ou CNPJ não encontrados no acompanhamento.
202414617;43035146000167;NF ou CNPJ não encontrados no acompanhamento.
202414517;43035146000167;NF ou CNPJ não encontrados no acompanhamento.
2072414613;43035146000167;NF ou CNPJ não encontrados no acompanhamento.
207414614;43035146000167;NF ou CNPJ não encontrados no acompanhamento.
207241461;43035146006716;NF ou CNPJ não encontrados no acompanhamento.
2072414616;43035146006716;NF ou CNPJ não encontrados no acompanhamento.
20724146124;43035146006716;NF ou CNPJ não encontrados no acompanhamento.
2072414610;43035146006716;NF ou CNPJ não encontrados no acompanhamento.
2072414612;43035146006716;NF ou CNPJ não encontrados no acompanhamento.
2072414673;43035146006716;NF ou CNPJ não encontrados no acompanhamento.
69310;183281118028704;NF ou CNPJ não encontrados no acompanhamento.
20242005;43035146007198;NF ou CNPJ não encontrados no acompanhamento.
202400000023482;43035146008089;NF ou CNPJ não encontrados no acompanhamento.
202400000023483;43035146008089;NF ou CNPJ não encontrados no acompanhamento.
202400000023484;43035146008089;NF ou CNPJ não encontrados no acompanhamento.
202400000023485;43035146008089;NF ou CNPJ não encontrados no acompanhamento.
202400000024409;43035146000625;NF ou CNPJ não encontrados no acompanhamento.
