Número da Nota Fiscal;Razão Social;CNPJ;Data Emissão;Caminho do Arquivo
267035; Usuário; 43035146000185; 23/10/2024;C:\Users\Public\Processed_NFSe\2024-30-10\09.00-09.59\201 NF 267035.pdf
267093; Usuário; 43035146000185; 23/10/2024;C:\Users\Public\Processed_NFSe\2024-30-10\09.00-09.59\201 NF 267093.pdf
11102476841; PROTEGE PROTECAD E TRANSPORTE DE VALORES LTDA; 43036514500; 21/10/2024;C:\Users\Public\Processed_NFSe\2024-30-10\09.00-09.59\NFSE_201NFE0267032.PDF
111024766442; PROTEGE PROTECAD E TRANSPORTE DE VALORES LTDA; 43036514500; 21/10/2024;C:\Users\Public\Processed_NFSe\2024-30-10\09.00-09.59\NFSE_201NFE0267033.PDF
11102476842; PROTEGE PROTECAD E TRANSPORTE DE VALORES LTDA; 43036514500; 21/10/2024;C:\Users\Public\Processed_NFSe\2024-30-10\09.00-09.59\NFSE_201NFE0267034.PDF
111024766445; PROTEGE PROTECAD E TRANSPORTE DE VALORES LTDA; 43036514500; 21/10/2024;C:\Users\Public\Processed_NFSe\2024-30-10\09.00-09.59\NFSE_201NFE0267036.PDF
211024766446; PROTEGE PROTECAD E TRANSPORTE DE VALORES LTDA; 43036514500; 21/10/2024;C:\Users\Public\Processed_NFSe\2024-30-10\09.00-09.59\NFSE_201NFE0267037.PDF
21102024; PROTEGE PROTECAD E TRANSPORTE DE VALORES LTDA; 43036514500; 21/10/2024;C:\Users\Public\Processed_NFSe\2024-30-10\09.00-09.59\NFSE_201NFE0267038.PDF
21102024; PROTEGE PROTECAD E TRANSPORTE DE VALORES LTDA; 43036514500; 21/10/2024;C:\Users\Public\Processed_NFSe\2024-30-10\09.00-09.59\NFSE_201NFE0267039.PDF
21102024; PROTEGE PROTECAD E TRANSPORTE DE VALORES LTDA; 43036514500; 21/10/2024;C:\Users\Public\Processed_NFSe\2024-30-10\09.00-09.59\NFSE_201NFE0267040.PDF
22102024; PROTEGE PROTECAD E TRANSPORTE DE VALORES LTDA; 43036514500; 22/10/2024;C:\Users\Public\Processed_NFSe\2024-30-10\09.00-09.59\NFSE_201NFE0267091.PDF
22102024; PROTEGE PROTECAD E TRANSPORTE DE VALORES LTDA; 43036514500; 22/10/2024;C:\Users\Public\Processed_NFSe\2024-30-10\09.00-09.59\NFSE_201NFE0267092.PDF
34283; PROTEGE PROTECAO E TRANSPORTE DE VALORES LTDA; 43035146600161; 21/10/2024;C:\Users\Public\Processed_NFSe\2024-30-10\09.00-09.59\NFSE_207NFE0034283.PDF
57201; PROTEGE S/A PROTECAO E TRANSPORTES DE VALORES; 43035146001742; 22/10/2024;C:\Users\Public\Processed_NFSe\2024-30-10\09.00-09.59\NFSE_208NFE0054159.PDF
21356; PROTEGE PROTECAO E TRANSPORTE DE VALORES LTDA; 43035148004172; 21/10/2024;C:\Users\Public\Processed_NFSe\2024-30-10\09.00-09.59\NFSE_209NFE0019677.PDF
21357; PROTEGE PROTECAO E TRANSPORTE DE VALORES LTDA; 43035148004172; 21/10/2024;C:\Users\Public\Processed_NFSe\2024-30-10\09.00-09.59\NFSE_209NFE0019678.PDF
213958; PROTEGE PROTECAO E TRANSPORTE DE VALORES LTDA; 43095148004172; 17/10/2024;C:\Users\Public\Processed_NFSe\2024-30-10\09.00-09.59\NFSE_209NFE0019679.PDF
213959; PROTEGE PROTECAO E TRANSPORTE DE VALORES LTDA; 43095148004172; 22/10/2024;C:\Users\Public\Processed_NFSe\2024-30-10\09.00-09.59\NFSE_209NFE0019680.PDF
190; PET CENTER GOMERCIO E PARTICIPACOES SA; 43085146001588; 22/10/2024;C:\Users\Public\Processed_NFSe\2024-30-10\09.00-09.59\NFSE_219NFSE0034897.PDF
33358; PROTEGE PROTECAO E TRANSPORTE DE VALORES LTDA; 43035146001319; 22/10/2024;C:\Users\Public\Processed_NFSe\2024-30-10\09.00-09.59\NFSE_226NFSE0033358.PDF
8233221024104931660430351462024107394135; PROTEGE PROTECAO E TRANSPORTE DE VALORES LTDA; 43035146001238; 22/10/2024;C:\Users\Public\Processed_NFSe\2024-30-10\09.00-09.59\NFSE_229NFSE0003333.PDF
8233221024104932570430351462024107394136; PET CENTER COMERCIO E PARTICIPACOES SA; 18328118026507; 22/10/2024;C:\Users\Public\Processed_NFSe\2024-30-10\09.00-09.59\NFSE_229NFSE0003334.PDF
AZZO30322024;PROTEGE PROTECAO E TRANSPORTE DE VALORES LTDA;43035146000169;22/10/2024;C:\Users\Public\Processed_NFSe\2024-30-10\09.00-09.59\NFSE_240NFE0042203.PDF
AZJZIO522022;PROTEGE PROTECAO E TRANSPORTE DE VALORES LTDA;18328118028976;22/10/2024;C:\Users\Public\Processed_NFSe\2024-30-10\09.00-09.59\NFSE_240NFE0042205.PDF
AFGIDOT22024;PROTEGE PROTECAO E TRANSPORTE DE VALORES LTDA;18328118002200;22/10/2024;C:\Users\Public\Processed_NFSe\2024-30-10\09.00-09.59\NFSE_240NFE0042206.PDF
AZFIDYF22024;PROTEGE PROTECAO E TRANSPORTE DE VALORES LTDA;18328180270927;22/10/2024;C:\Users\Public\Processed_NFSe\2024-30-10\09.00-09.59\NFSE_240NFE0042207.PDF
AZIIDS22024;PROTEGE PROTECAO E TRANSPORTE DE VALORES LTDA;18328118028976;22/10/2024;C:\Users\Public\Processed_NFSe\2024-30-10\09.00-09.59\NFSE_240NFE0042208.PDF
202414617;PROTEGE PROTECAO E TRANSPORTE DE VALORES LTDA;43035146000167;22/10/2024;C:\Users\Public\Processed_NFSe\2024-30-10\09.00-09.59\NFSE_240NFE0042210.PDF
202414517;PROTEGE PROTECAO E TRANSPORTE DE VALORES LTDA;43035146000167;21/10/2024;C:\Users\Public\Processed_NFSe\2024-30-10\09.00-09.59\NFSE_241NFE2414611.PDF
2072414613;PROTEGE PROTECAO E TRANSPORTE DE VALORES LTDA;43035146000167;21/10/2024;C:\Users\Public\Processed_NFSe\2024-30-10\09.00-09.59\NFSE_241NFE2414612.PDF
207414614;PROTEGE PROTECAO E TRANSPORTE DE VALORES LTDA;43035146000167;21/10/2024;C:\Users\Public\Processed_NFSe\2024-30-10\09.00-09.59\NFSE_241NFE2414613.PDF
207241461;SEIETO PROTEGE PROTECAO E TRAMSPORTE DE VALORES LTDA;43035146006716;21/10/2024;C:\Users\Public\Processed_NFSe\2024-30-10\09.00-09.59\NFSE_241NFE2414615.PDF
2072414616;SEIETO PROTEGE PROTECAO E TRAMSPORTE DE VALORES LTDA;43035146006716;21/10/20274;C:\Users\Public\Processed_NFSe\2024-30-10\09.00-09.59\NFSE_241NFE2414616.PDF
20724146124;SEIETO PROTEGE PROTECAO E TRAMSPORTE DE VALORES LTDA;43035146006716;21/10/2024;C:\Users\Public\Processed_NFSe\2024-30-10\09.00-09.59\NFSE_241NFE2414617.PDF
2072414610;SEIETO PROTEGE PROTECAO E TRAMSPORTE DE VALORES LTDA;43035146006716;22/10/20274;C:\Users\Public\Processed_NFSe\2024-30-10\09.00-09.59\NFSE_241NFE2414670.PDF
2072414612;SEIETO PROTEGE PROTECAO E TRAMSPORTE DE VALORES LTDA;43035146006716;22/10/20274;C:\Users\Public\Processed_NFSe\2024-30-10\09.00-09.59\NFSE_241NFE2414672.PDF
2072414673; LOTIOTA LA ALTI; 43035146006716; 22/10/2024;C:\Users\Public\Processed_NFSe\2024-30-10\09.00-09.59\NFSE_241NFE2414673.PDF
69310; PET CENTER COMERCIO E PARTICIPACOES SA; 183281118028704; 22/10/2024;C:\Users\Public\Processed_NFSe\2024-30-10\09.00-09.59\NFSE_244NFE0068901.PDF
20242005; PROTEGE PROTECAO E TRANSPORTE DE VALORES LTDA; 43035146007198; 22/10/2024;C:\Users\Public\Processed_NFSe\2024-30-10\09.00-09.59\NFSE_245NFE2402005.PDF
202400000023482; PROTEGE PROTECAO E TRANSPORTE DE VALORES LTDA; 43035146008089; 22/10/2024;C:\Users\Public\Processed_NFSe\2024-30-10\09.00-09.59\NFSE_247NFE0023482.PDF
202400000023483; PROTEGE PROTECAO E TRANSPORTE DE VALORES LTDA; 43035146008089; 22/10/2024;C:\Users\Public\Processed_NFSe\2024-30-10\09.00-09.59\NFSE_247NFE0023483.PDF
202400000023484; PROTEGE PROTECAO E TRANSPORTE DE VALORES LTDA; 43035146008089; 22/10/2024;C:\Users\Public\Processed_NFSe\2024-30-10\09.00-09.59\NFSE_247NFE0023484.PDF
202400000023485; PROTEGE PROTECAO E TRANSPORTE DE VALORES LTDA; 43035146008089; 22/10/2024;C:\Users\Public\Processed_NFSe\2024-30-10\09.00-09.59\NFSE_247NFE0023485.PDF
202400000024409; PROTEGE PROTECAO E TRANSPORTE DE VALORES LIDA; 43035146000625; 22/10/2024;C:\Users\Public\Processed_NFSe\2024-30-10\09.00-09.59\NFSE_250NFE2402409.PDF
